dir,movement_label,movement_value
0.jpg,Push,2
1.jpg,Push,2
2.jpg,Push,2
3.jpg,Push,2
4.jpg,Push,2
5.jpg,Push,2
6.jpg,Push,2
7.jpg,Push,2
8.jpg,Push,2
9.jpg,Push,2
10.jpg,Push,2
11.jpg,Push,2
12.jpg,Push,2
13.jpg,Push,2
14.jpg,Push,2
15.jpg,Push,2
16.jpg,Push,2
17.jpg,Push,2
18.jpg,Push,2
19.jpg,Push,2
20.jpg,Push,2
21.jpg,Push,2
22.jpg,Push,2
23.jpg,Push,2
24.jpg,Push,2
25.jpg,Push,2
26.jpg,Push,2
27.jpg,Push,2
28.jpg,Push,2
29.jpg,Push,2
30.jpg,Push,2
31.jpg,Push,2
32.jpg,Push,2
33.jpg,Push,2
34.jpg,Push,2
35.jpg,Push,2
36.jpg,Push,2
37.jpg,Push,2
38.jpg,Push,2
39.jpg,Push,2
40.jpg,Push,2
41.jpg,Push,2
42.jpg,Push,2
43.jpg,Push,2
44.jpg,Push,2
45.jpg,Push,2
46.jpg,Push,2
47.jpg,Push,2
48.jpg,Push,2
49.jpg,Push,2
50.jpg,Push,2
51.jpg,Push,2
52.jpg,Push,2
53.jpg,Push,2
54.jpg,Push,2
55.jpg,Push,2
56.jpg,Push,2
57.jpg,Push,2
58.jpg,Push,2
59.jpg,Push,2
60.jpg,Push,2
61.jpg,Push,2
62.jpg,Push,2
63.jpg,Push,2
64.jpg,Push,2
65.jpg,Push,2
66.jpg,Push,2
67.jpg,Push,2
68.jpg,Push,2
69.jpg,Push,2
70.jpg,Push,2
71.jpg,Push,2
72.jpg,Push,2
73.jpg,Push,2
74.jpg,Push,2
75.jpg,Push,2
76.jpg,Push,2
77.jpg,Push,2
78.jpg,Push,2
79.jpg,Push,2
80.jpg,Push,2
81.jpg,Push,2
82.jpg,Push,2
83.jpg,Push,2
84.jpg,Push,2
85.jpg,Push,2
86.jpg,Push,2
87.jpg,Push,2
88.jpg,Push,2
89.jpg,Push,2
90.jpg,Push,2
91.jpg,Push,2
92.jpg,Push,2
93.jpg,Push,2
94.jpg,Push,2
95.jpg,Push,2
96.jpg,Push,2
97.jpg,Push,2
98.jpg,Push,2
99.jpg,Push,2
100.jpg,Push,2
101.jpg,Push,2
102.jpg,Push,2
103.jpg,Push,2
104.jpg,Push,2
105.jpg,Push,2
106.jpg,Push,2
107.jpg,Push,2
108.jpg,Push,2
109.jpg,Push,2
110.jpg,Push,2
111.jpg,Push,2
112.jpg,Push,2
113.jpg,Push,2
114.jpg,Push,2
115.jpg,Push,2
116.jpg,Push,2
117.jpg,Push,2
118.jpg,Push,2
119.jpg,Push,2
120.jpg,Push,2
121.jpg,Push,2
122.jpg,Push,2
123.jpg,Push,2
124.jpg,Push,2
125.jpg,Push,2
126.jpg,Push,2
127.jpg,Push,2
128.jpg,Push,2
129.jpg,Push,2
130.jpg,Push,2
131.jpg,Push,2
132.jpg,Push,2
133.jpg,Push,2
134.jpg,Push,2
135.jpg,Push,2
136.jpg,Push,2
137.jpg,Push,2
138.jpg,Push,2
139.jpg,Push,2
140.jpg,Push,2
141.jpg,Push,2
142.jpg,Push,2
143.jpg,Push,2
144.jpg,Push,2
145.jpg,Push,2
146.jpg,Push,2
147.jpg,Push,2
148.jpg,Push,2
149.jpg,Push,2
150.jpg,Push,2
151.jpg,Push,2
152.jpg,Push,2
153.jpg,Push,2
