assignment,video,scene,scale_label,scale_value,movement_label,movement_value,frames,time(s),size(MB),dir
train,tt0444850,0014,CS,1,Static,4,53,2.21,0.52,./../data/train/tt0444850/shot_0014.mp4
train,tt0444850,0015,CS,1,Static,4,45,1.88,0.63,./../data/train/tt0444850/shot_0015.mp4
train,tt0444850,0016,ECS,0,Static,4,24,1.00,0.23,./../data/train/tt0444850/shot_0016.mp4
train,tt2005173,0002,MS,2,Static,4,22,0.88,0.31,./../data/train/tt2005173/shot_0002.mp4
train,tt2005173,0014,CS,1,Static,4,22,0.88,0.16,./../data/train/tt2005173/shot_0014.mp4
train,tt2005173,0022,MS,2,Static,4,22,0.88,0.15,./../data/train/tt2005173/shot_0022.mp4
train,tt2005173,0042,FS,3,Static,4,26,1.04,0.17,./../data/train/tt2005173/shot_0042.mp4
train,tt2005185,0014,MS,2,Motion,0,57,2.38,0.83,./../data/train/tt2005185/shot_0014.mp4
train,tt2005185,0028,MS,2,Pull,2,20,0.83,0.52,./../data/train/tt2005185/shot_0028.mp4
train,tt2005185,0029,FS,3,Motion,0,37,1.54,0.62,./../data/train/tt2005185/shot_0029.mp4
train,tt2005185,0033,CS,1,Static,4,49,2.04,0.39,./../data/train/tt2005185/shot_0033.mp4
train,tt2005185,0057,FS,3,Static,4,21,0.88,0.20,./../data/train/tt2005185/shot_0057.mp4
train,tt2005185,0064,MS,2,Motion,0,54,2.25,0.70,./../data/train/tt2005185/shot_0064.mp4
train,tt2005374,0011,MS,2,Motion,0,38,1.58,0.33,./../data/train/tt2005374/shot_0011.mp4
train,tt2005374,0022,LS,4,Motion,0,24,1.00,0.35,./../data/train/tt2005374/shot_0022.mp4
train,tt2006040,0002,MS,2,Static,4,45,1.88,0.20,./../data/train/tt2006040/shot_0002.mp4
train,tt2006040,0006,MS,2,Static,4,42,1.75,0.19,./../data/train/tt2006040/shot_0006.mp4
train,tt2006040,0046,MS,2,Motion,0,19,0.79,0.13,./../data/train/tt2006040/shot_0046.mp4
train,tt2006040,0047,ECS,0,Motion,0,28,1.17,0.27,./../data/train/tt2006040/shot_0047.mp4
train,tt2006040,0052,FS,3,Static,4,22,0.92,0.12,./../data/train/tt2006040/shot_0052.mp4
train,tt2006040,0054,ECS,0,Static,4,20,0.83,0.15,./../data/train/tt2006040/shot_0054.mp4
train,tt2006802,0010,MS,2,Static,4,77,3.21,0.35,./../data/train/tt2006802/shot_0010.mp4
train,tt2006802,0011,MS,2,Static,4,49,2.04,0.24,./../data/train/tt2006802/shot_0011.mp4
train,tt2006810,0004,MS,2,Static,4,19,0.76,0.14,./../data/train/tt2006810/shot_0004.mp4
train,tt2006810,0008,MS,2,Static,4,27,1.08,0.21,./../data/train/tt2006810/shot_0008.mp4
train,tt2006810,0025,FS,3,Motion,0,31,1.24,0.40,./../data/train/tt2006810/shot_0025.mp4
train,tt2006810,0027,MS,2,Static,4,31,1.24,0.47,./../data/train/tt2006810/shot_0027.mp4
train,tt2006810,0038,FS,3,Static,4,30,1.20,0.22,./../data/train/tt2006810/shot_0038.mp4
train,tt2007421,0009,ECS,0,Motion,0,30,1.20,0.31,./../data/train/tt2007421/shot_0009.mp4
train,tt2007421,0027,FS,3,Motion,0,30,1.20,0.51,./../data/train/tt2007421/shot_0027.mp4
train,tt2007421,0041,CS,1,Motion,0,14,0.56,0.18,./../data/train/tt2007421/shot_0041.mp4
train,tt2007421,0042,ECS,0,Static,4,14,0.56,0.30,./../data/train/tt2007421/shot_0042.mp4
train,tt2008513,0006,FS,3,Motion,0,27,1.13,0.49,./../data/train/tt2008513/shot_0006.mp4
train,tt2008513,0012,ECS,0,Static,4,22,0.92,0.28,./../data/train/tt2008513/shot_0012.mp4
train,tt2008513,0025,ECS,0,Static,4,20,0.83,0.18,./../data/train/tt2008513/shot_0025.mp4
train,tt2008513,0033,CS,1,Static,4,14,0.58,0.14,./../data/train/tt2008513/shot_0033.mp4
train,tt2008513,0042,ECS,0,Motion,0,21,0.88,0.27,./../data/train/tt2008513/shot_0042.mp4
train,tt2008513,0044,MS,2,Static,4,28,1.17,0.33,./../data/train/tt2008513/shot_0044.mp4
train,tt2008513,0045,FS,3,Static,4,22,0.92,0.28,./../data/train/tt2008513/shot_0045.mp4
train,tt2008513,0047,FS,3,Motion,0,35,1.46,0.55,./../data/train/tt2008513/shot_0047.mp4
train,tt2008655,0002,CS,1,Motion,0,47,1.96,0.24,./../data/train/tt2008655/shot_0002.mp4
train,tt2008655,0014,MS,2,Motion,0,21,0.88,0.25,./../data/train/tt2008655/shot_0014.mp4
train,tt2008655,0024,MS,2,Static,4,47,1.96,0.40,./../data/train/tt2008655/shot_0024.mp4
train,tt2008655,0037,CS,1,Static,4,27,1.13,0.18,./../data/train/tt2008655/shot_0037.mp4
train,tt2008655,0043,CS,1,Static,4,35,1.46,0.14,./../data/train/tt2008655/shot_0043.mp4
train,tt2008655,0044,MS,2,Static,4,53,2.21,0.34,./../data/train/tt2008655/shot_0044.mp4
train,tt2008655,0065,MS,2,Static,4,24,1.00,0.11,./../data/train/tt2008655/shot_0065.mp4
train,tt2008655,0072,FS,3,Static,4,43,1.79,0.22,./../data/train/tt2008655/shot_0072.mp4
train,tt2010939,0015,ECS,0,Static,4,27,1.13,0.36,./../data/train/tt2010939/shot_0015.mp4
train,tt2010939,0027,ECS,0,Push,1,61,2.54,0.57,./../data/train/tt2010939/shot_0027.mp4
train,tt2011138,0006,ECS,0,Static,4,73,3.04,0.71,./../data/train/tt2011138/shot_0006.mp4
train,tt2011159,0076,MS,2,Static,4,38,1.27,0.34,./../data/train/tt2011159/shot_0076.mp4
train,tt2011159,0106,MS,2,Static,4,14,0.47,0.13,./../data/train/tt2011159/shot_0106.mp4
train,tt2011300,0004,CS,1,Static,4,60,2.50,0.32,./../data/train/tt2011300/shot_0004.mp4
train,tt2011300,0010,MS,2,Static,4,44,1.84,0.31,./../data/train/tt2011300/shot_0010.mp4
train,tt2011300,0026,MS,2,Static,4,72,3.00,0.54,./../data/train/tt2011300/shot_0026.mp4
train,tt2011300,0051,CS,1,Static,4,126,5.26,0.82,./../data/train/tt2011300/shot_0051.mp4
train,tt2011953,0008,ECS,0,Static,4,40,1.67,0.28,./../data/train/tt2011953/shot_0008.mp4
train,tt2011953,0010,ECS,0,Motion,0,71,2.96,0.51,./../data/train/tt2011953/shot_0010.mp4
train,tt2011961,0005,MS,2,Motion,0,66,2.75,0.68,./../data/train/tt2011961/shot_0005.mp4
train,tt2011961,0008,LS,4,Motion,0,27,1.12,0.79,./../data/train/tt2011961/shot_0008.mp4
train,tt2011961,0009,FS,3,Static,4,30,1.25,0.88,./../data/train/tt2011961/shot_0009.mp4
train,tt2011961,0059,ECS,0,Motion,0,16,0.67,0.23,./../data/train/tt2011961/shot_0059.mp4
train,tt2011961,0066,FS,3,Static,4,29,1.21,0.40,./../data/train/tt2011961/shot_0066.mp4
train,tt2011961,0078,LS,4,Static,4,15,0.62,0.47,./../data/train/tt2011961/shot_0078.mp4
train,tt2011961,0083,MS,2,Static,4,27,1.12,1.42,./../data/train/tt2011961/shot_0083.mp4
train,tt2011961,0084,MS,2,Motion,0,37,1.54,0.89,./../data/train/tt2011961/shot_0084.mp4
train,tt2012011,0002,LS,4,Motion,0,48,2.00,0.86,./../data/train/tt2012011/shot_0002.mp4
train,tt2012011,0007,ECS,0,Static,4,31,1.29,0.13,./../data/train/tt2012011/shot_0007.mp4
train,tt2012011,0021,MS,2,Static,4,75,3.13,0.78,./../data/train/tt2012011/shot_0021.mp4
train,tt2012011,0026,ECS,0,Static,4,16,0.67,0.21,./../data/train/tt2012011/shot_0026.mp4
train,tt2012011,0028,LS,4,Static,4,34,1.42,0.45,./../data/train/tt2012011/shot_0028.mp4
train,tt2012011,0033,ECS,0,Static,4,24,1.00,0.30,./../data/train/tt2012011/shot_0033.mp4
train,tt2012011,0046,LS,4,Static,4,19,0.79,0.28,./../data/train/tt2012011/shot_0046.mp4
train,tt2012011,0053,MS,2,Static,4,21,0.88,0.24,./../data/train/tt2012011/shot_0053.mp4
train,tt2012665,0010,MS,2,Static,4,35,1.46,0.67,./../data/train/tt2012665/shot_0010.mp4
train,tt2012665,0039,LS,4,Static,4,48,2.00,1.49,./../data/train/tt2012665/shot_0039.mp4
train,tt2012665,0044,CS,1,Static,4,30,1.25,0.27,./../data/train/tt2012665/shot_0044.mp4
train,tt2012665,0071,FS,3,Static,4,25,1.04,0.21,./../data/train/tt2012665/shot_0071.mp4
train,tt2012665,0083,ECS,0,Static,4,16,0.67,0.13,./../data/train/tt2012665/shot_0083.mp4
train,tt2014225,0005,MS,2,Static,4,31,1.29,0.32,./../data/train/tt2014225/shot_0005.mp4
train,tt2014225,0012,ECS,0,Static,4,17,0.71,0.20,./../data/train/tt2014225/shot_0012.mp4
train,tt2014225,0021,ECS,0,Static,4,32,1.33,0.40,./../data/train/tt2014225/shot_0021.mp4
train,tt2014225,0043,ECS,0,Static,4,17,0.71,0.22,./../data/train/tt2014225/shot_0043.mp4
train,tt2014225,0052,LS,4,Motion,0,81,3.38,1.82,./../data/train/tt2014225/shot_0052.mp4
train,tt2014248,0021,FS,3,Static,4,55,1.84,0.84,./../data/train/tt2014248/shot_0021.mp4
train,tt2014248,0027,ECS,0,Motion,0,149,4.97,2.68,./../data/train/tt2014248/shot_0027.mp4
train,tt2014266,0002,MS,2,Static,4,15,0.60,0.14,./../data/train/tt2014266/shot_0002.mp4
train,tt2014266,0014,ECS,0,Push,1,72,2.88,0.39,./../data/train/tt2014266/shot_0014.mp4
train,tt2014266,0019,MS,2,Static,4,22,0.88,0.18,./../data/train/tt2014266/shot_0019.mp4
train,tt2014266,0021,MS,2,Motion,0,36,1.44,0.42,./../data/train/tt2014266/shot_0021.mp4
train,tt2014266,0038,MS,2,Static,4,20,0.80,0.10,./../data/train/tt2014266/shot_0038.mp4
train,tt2014266,0050,FS,3,Static,4,16,0.64,0.12,./../data/train/tt2014266/shot_0050.mp4
train,tt2014266,0053,MS,2,Static,4,17,0.68,0.16,./../data/train/tt2014266/shot_0053.mp4
train,tt2014266,0065,ECS,0,Motion,0,34,1.36,0.27,./../data/train/tt2014266/shot_0065.mp4
train,tt2014319,0007,CS,1,Motion,0,69,2.88,0.33,./../data/train/tt2014319/shot_0007.mp4
train,tt2014319,0015,FS,3,Motion,0,151,6.30,1.60,./../data/train/tt2014319/shot_0015.mp4
train,tt2014319,0030,FS,3,Static,4,18,0.75,0.21,./../data/train/tt2014319/shot_0030.mp4
train,tt2014338,0011,FS,3,Static,4,24,0.80,0.16,./../data/train/tt2014338/shot_0011.mp4
train,tt2014338,0017,CS,1,Motion,0,44,1.47,0.32,./../data/train/tt2014338/shot_0017.mp4
train,tt2015366,0009,ECS,0,Static,4,39,1.62,0.44,./../data/train/tt2015366/shot_0009.mp4
train,tt2015366,0016,FS,3,Motion,0,34,1.42,0.53,./../data/train/tt2015366/shot_0016.mp4
train,tt2015366,0036,ECS,0,Static,4,31,1.29,0.61,./../data/train/tt2015366/shot_0036.mp4
train,tt2015366,0043,ECS,0,Motion,0,32,1.33,0.52,./../data/train/tt2015366/shot_0043.mp4
train,tt2015366,0046,LS,4,Motion,0,48,2.00,0.57,./../data/train/tt2015366/shot_0046.mp4
train,tt2015370,0016,FS,3,Push,1,20,0.83,0.21,./../data/train/tt2015370/shot_0016.mp4
train,tt2015370,0022,ECS,0,Static,4,30,1.25,0.31,./../data/train/tt2015370/shot_0022.mp4
train,tt2015370,0034,FS,3,Motion,0,21,0.88,0.41,./../data/train/tt2015370/shot_0034.mp4
train,tt2015370,0049,CS,1,Static,4,23,0.96,0.27,./../data/train/tt2015370/shot_0049.mp4
train,tt2015370,0054,FS,3,Static,4,17,0.71,0.21,./../data/train/tt2015370/shot_0054.mp4
